title,domain,description,stipend,location
AI Research Intern,IT & ITeS,Work on cutting-edge machine learning projects including natural language processing and computer vision. Assist in developing and fine-tuning deep learning models using TensorFlow and PyTorch. Collaborate with senior researchers on publishing research papers and implementing AI solutions for real-world problems.,"₹15,000 - ₹25,000",Bangalore
Data Science Intern,IT & ITeS,Analyze large datasets to extract meaningful insights and build predictive models. Create data visualizations and dashboards using tools like Tableau and Power BI. Support the data science team in developing automated reporting systems and machine learning pipelines.,"₹12,000 - ₹20,000",Hyderabad
Cybersecurity Analyst Intern,IT & ITeS,Monitor network security and investigate potential threats using SIEM tools. Assist in vulnerability assessments and penetration testing activities. Learn about incident response procedures and help implement security best practices across the organization.,"₹10,000 - ₹18,000",Pune
Cloud DevOps Intern,IT & ITeS,"Support cloud infrastructure deployment and management on AWS, Azure, or GCP. Work with containerization technologies like Docker and Kubernetes. Assist in setting up CI/CD pipelines and automating deployment processes using tools like Jenkins and Terraform.","₹14,000 - ₹22,000",Mumbai
Full-Stack Developer Intern,IT & ITeS,"Develop web applications using modern frameworks like React, Node.js, and MongoDB. Collaborate with UX designers to implement responsive user interfaces. Work on both frontend and backend components, including API development and database optimization.","₹12,000 - ₹20,000",Delhi
Mobile App Development Intern,IT & ITeS,"Build native and cross-platform mobile applications using React Native or Flutter. Work on user interface design and implement features based on user feedback. Assist in app testing, debugging, and deployment to app stores.","₹10,000 - ₹16,000",Chennai
Blockchain Developer Intern,IT & ITeS,Develop smart contracts using Solidity and work on decentralized applications (DApps). Learn about blockchain architecture and consensus mechanisms. Assist in building cryptocurrency wallets and implementing blockchain solutions for supply chain management.,"₹15,000 - ₹25,000",Remote
AR/VR Developer Intern,IT & ITeS,Create immersive virtual and augmented reality experiences using Unity and C#. Work on 3D modeling and animation for VR applications. Assist in developing AR solutions for mobile devices and collaborate on innovative XR projects.,"₹12,000 - ₹18,000",Gurgaon
UI/UX Design Intern,IT & ITeS,Create user-centered design solutions for web and mobile applications. Conduct user research and usability testing to improve product interfaces. Work with design tools like Figma and Adobe Creative Suite to develop wireframes and prototypes.,"₹8,000 - ₹14,000",Mumbai
Quality Assurance Intern,IT & ITeS,Perform manual and automated testing of software applications to ensure quality and functionality. Write test cases and execute regression testing procedures. Learn about testing frameworks like Selenium and participate in bug tracking and resolution processes.,"₹7,000 - ₹12,000",Noida
Machine Learning Engineer Intern,IT & ITeS,"Build and deploy ML models for production environments using MLOps best practices. Work with feature engineering, model optimization, and A/B testing frameworks. Collaborate on recommendation systems and predictive analytics for large-scale applications.","₹18,000 - ₹28,000",Bangalore
Data Engineer Intern,IT & ITeS,"Design and implement data pipelines using Apache Spark, Kafka, and Airflow. Work on ETL processes and data warehouse architecture. Support real-time data streaming and batch processing systems for analytics teams.","₹14,000 - ₹22,000",Hyderabad
Computer Vision Intern,IT & ITeS,Develop image recognition and object detection models using OpenCV and deep learning frameworks. Work on facial recognition systems and autonomous vehicle perception algorithms. Assist in deploying computer vision solutions on edge devices.,"₹16,000 - ₹24,000",Pune
Natural Language Processing Intern,IT & ITeS,"Build chatbots and language understanding models using BERT, GPT, and transformer architectures. Work on sentiment analysis, text classification, and language translation projects. Assist in developing conversational AI applications.","₹15,000 - ₹23,000",Mumbai
Backend Developer Intern,IT & ITeS,"Develop scalable server-side applications using Node.js, Python Django, or Java Spring. Work on API design, database optimization, and microservices architecture. Support system performance monitoring and debugging activities.","₹11,000 - ₹19,000",Delhi
Frontend Developer Intern,IT & ITeS,"Create responsive web interfaces using React, Vue.js, or Angular frameworks. Implement modern CSS techniques and JavaScript ES6+ features. Work on progressive web applications and cross-browser compatibility testing.","₹10,000 - ₹17,000",Chennai
