title,domain,description,stipend,location
Hotel Management Intern,Tourism & Hospitality,"Gain hands-on experience in hotel operations including front desk, housekeeping, and guest services. Learn about revenue management and hotel booking systems. Assist in organizing events and managing customer relationships.","₹6,000 - ₹12,000",Goa
Travel Planning Intern,Tourism & Hospitality,Assist clients in planning customized travel itineraries and vacation packages. Research destinations and coordinate with travel vendors for bookings. Learn about travel industry software and customer service best practices.,"₹7,000 - ₹13,000",Jaipur
Event Management Intern,Tourism & Hospitality,"Support planning and execution of corporate events, weddings, and conferences. Coordinate with vendors, manage logistics, and ensure smooth event operations. Learn about event marketing and customer experience management.","₹8,000 - ₹14,000",Delhi
Restaurant Management Intern,Tourism & Hospitality,"Learn restaurant operations including menu planning, inventory management, and customer service excellence. Assist in staff training and quality control procedures. Support cost management and revenue optimization initiatives.","₹6,000 - ₹11,000",Mumbai
Resort Operations Intern,Tourism & Hospitality,"Support resort management activities including guest services, housekeeping coordination, and recreational program management. Assist in booking systems and customer relationship management. Learn about hospitality software and revenue management.","₹7,000 - ₹13,000",Goa
Cruise Operations Intern,Tourism & Hospitality,"Support cruise ship operations including guest entertainment, dining services, and shore excursion coordination. Learn about maritime hospitality and international travel regulations. Assist in guest relations and activity planning.","₹8,000 - ₹15,000",Kochi
Travel Technology Intern,Tourism & Hospitality,"Work on travel booking platforms and mobile applications for tourism services. Support API integrations with airlines, hotels, and travel suppliers. Assist in developing travel recommendation systems and user experience improvements.","₹10,000 - ₹17,000",Bangalore
Tourism Marketing Intern,Tourism & Hospitality,Promote tourist destinations and hospitality services through digital marketing campaigns. Create travel content and manage social media presence for tourism boards. Support partnership development with travel agencies and tour operators.,"₹7,000 - ₹13,000",Jaipur
Aviation Management Intern,Tourism & Hospitality,Support airport operations and airline customer service management. Assist in flight scheduling and crew resource planning. Learn about aviation safety regulations and passenger service standards.,"₹8,000 - ₹15,000",Delhi
Spa and Wellness Intern,Tourism & Hospitality,Support spa operations and wellness program development in hospitality settings. Assist in treatment scheduling and customer wellness consultations. Learn about holistic health practices and wellness tourism trends.,"₹6,000 - ₹12,000",Kerala
