title,domain,description,stipend,location
Content Creation Intern,Media & Entertainment,"Create engaging video content for social media platforms and digital channels. Assist in video editing, scriptwriting, and post-production activities. Collaborate with creative teams to develop multimedia campaigns and branded content.","₹8,000 - ₹15,000",Mumbai
Film Production Intern,Media & Entertainment,"Support film and television production activities including pre-production planning and on-set assistance. Learn about camera operations, lighting techniques, and post-production workflows. Assist in managing production schedules and equipment.","₹6,000 - ₹12,000",Chennai
Game Development Intern,Media & Entertainment,"Develop mobile and PC games using Unity and Unreal Engine. Work on game mechanics, level design, and user interface elements. Participate in playtesting sessions and help optimize game performance across different platforms.","₹10,000 - ₹18,000",Hyderabad
Game Designer Intern,Media & Entertainment,"Create game concepts, level designs, and character development for mobile and PC games. Work on game balance, progression systems, and user experience optimization. Collaborate with artists and developers on game production pipelines.","₹9,000 - ₹16,000",Bangalore
3D Artist Intern,Media & Entertainment,"Create 3D models, textures, and animations for games, films, and virtual reality experiences. Work with software like Blender, Maya, and 3ds Max. Assist in rendering optimization and asset pipeline development.","₹8,000 - ₹15,000",Mumbai
Video Editor Intern,Media & Entertainment,"Edit promotional videos, documentaries, and social media content using Adobe Premiere Pro and After Effects. Work on color correction, audio editing, and motion graphics. Support live streaming and video production workflows.","₹7,000 - ₹13,000",Delhi
Animation Intern,Media & Entertainment,"Create 2D and 3D animations for films, advertisements, and digital media projects. Work with software like Adobe After Effects, Maya, and Cinema 4D. Assist in character design and visual effects production.","₹8,000 - ₹14,000",Mumbai
Audio Production Intern,Media & Entertainment,"Support music production, sound design, and audio post-production activities. Work with Pro Tools, Logic Pro, and other digital audio workstations. Assist in podcast production and audio content creation.","₹7,000 - ₹13,000",Chennai
Broadcasting Intern,Media & Entertainment,Support television and radio broadcasting operations including live production and content scheduling. Assist in news gathering and program coordination activities. Learn about broadcast technology and media distribution systems.,"₹6,000 - ₹12,000",Delhi
Digital Content Strategy Intern,Media & Entertainment,Develop content strategies for streaming platforms and digital media channels. Assist in audience analysis and content performance optimization. Support influencer partnerships and brand collaboration initiatives.,"₹9,000 - ₹15,000",Mumbai
Music Production Intern,Media & Entertainment,"Assist in music recording, mixing, and mastering processes in professional studios. Work with artists on song arrangement and production techniques. Learn about music distribution and artist development strategies.","₹7,000 - ₹14,000",Mumbai
Photography Intern,Media & Entertainment,"Support commercial photography projects including product, fashion, and event photography. Assist in photo editing and post-production workflows. Learn about studio lighting and photography business management.","₹6,000 - ₹11,000",Delhi
E-sports Management Intern,Media & Entertainment,Support e-sports tournament organization and team management activities. Assist in live streaming production and audience engagement strategies. Learn about gaming industry trends and sponsorship management.,"₹8,000 - ₹15,000",Mumbai
