title,domain,description,stipend,location
Investment Banking Intern,BFSI,Support financial modeling and valuation analysis for M&A transactions. Assist in preparing pitch decks and conducting industry research. Learn about capital markets and participate in due diligence processes for investment opportunities.,"₹15,000 - ₹30,000",Mumbai
Risk Management Intern,BFSI,Analyze credit risk and market risk for financial portfolios using statistical models. Support compliance monitoring and regulatory reporting activities. Assist in developing risk assessment frameworks and stress testing scenarios.,"₹12,000 - ₹20,000",Delhi
Fintech Product Intern,BFSI,Work on developing innovative financial technology solutions and mobile payment systems. Assist in user experience research for digital banking products. Support product testing and launch activities for new fintech features.,"₹10,000 - ₹18,000",Bangalore
Financial Analyst Intern,BFSI,Perform financial analysis and create reports for investment decisions. Support budget planning and forecasting activities. Learn about financial instruments and assist in portfolio management tasks.,"₹8,000 - ₹15,000",Hyderabad
Corporate Banking Intern,BFSI,"Support relationship managers in serving corporate clients with banking solutions. Assist in credit analysis, loan documentation, and account management activities. Learn about trade finance and cash management services.","₹10,000 - ₹18,000",Mumbai
Insurance Underwriter Intern,BFSI,Evaluate insurance applications and assess risk factors for policy approvals. Learn about actuarial analysis and premium calculation methodologies. Assist in claims processing and policy renewal procedures.,"₹9,000 - ₹15,000",Chennai
Wealth Management Intern,BFSI,"Support financial advisors in portfolio management and investment planning for high net worth clients. Learn about mutual funds, equity research, and retirement planning strategies. Assist in client onboarding and KYC procedures.","₹12,000 - ₹20,000",Delhi
Credit Analysis Intern,BFSI,Analyze loan applications and assess borrower creditworthiness using financial statements and credit scores. Support loan approval processes and documentation requirements. Learn about regulatory compliance and risk assessment frameworks.,"₹8,000 - ₹14,000",Hyderabad
Compliance Officer Intern,BFSI,Monitor regulatory compliance with RBI guidelines and banking regulations. Assist in audit preparations and compliance testing procedures. Learn about anti-money laundering policies and know-your-customer requirements.,"₹9,000 - ₹16,000",Mumbai
Trading Intern,BFSI,"Support equity and derivatives trading operations in capital markets. Learn about market analysis, technical indicators, and trading strategies. Assist in trade settlement and risk monitoring activities.","₹15,000 - ₹25,000",Mumbai
Digital Banking Intern,BFSI,Work on mobile banking applications and online payment systems development. Support UX improvements for digital banking platforms. Assist in implementing new financial technology features and customer onboarding flows.,"₹11,000 - ₹18,000",Bangalore
Investment Research Intern,BFSI,Conduct equity research and financial modeling for investment recommendations. Support sector analysis and company valuation activities. Assist in preparing research reports and investment presentations for clients.,"₹12,000 - ₹22,000",Mumbai
Private Equity Intern,BFSI,Support private equity deal sourcing and due diligence activities. Assist in portfolio company monitoring and value creation initiatives. Learn about leveraged buyouts and growth capital investments.,"₹18,000 - ₹30,000",Mumbai
Hedge Fund Operations Intern,BFSI,"Support hedge fund operations including trade settlement, NAV calculation, and investor reporting. Assist in risk management and performance attribution analysis. Learn about alternative investment strategies and fund administration.","₹15,000 - ₹25,000",Mumbai
Actuarial Science Intern,BFSI,Support actuarial modeling for insurance pricing and reserve calculations. Assist in mortality and morbidity analysis for life and health insurance products. Learn about statistical modeling and regulatory capital requirements.,"₹11,000 - ₹19,000",Chennai
Microfinance Intern,BFSI,Support microfinance lending operations and customer relationship management. Assist in credit assessment for small borrowers and collection activities. Learn about financial inclusion and rural banking strategies.,"₹6,000 - ₹12,000",Hyderabad
Payment Systems Intern,BFSI,Work on digital payment platform development and transaction processing systems. Support UPI integration and mobile wallet functionalities. Assist in payment security and fraud detection implementations.,"₹12,000 - ₹20,000",Bangalore
Blockchain Finance Intern,BFSI,Work on blockchain applications for financial services including smart contracts and cryptocurrency trading platforms. Support decentralized finance (DeFi) protocol development and digital asset management systems.,"₹16,000 - ₹26,000",Mumbai
