title,domain,description,stipend,location
Medical Research Intern,Healthcare & Life Sciences,Assist in clinical research studies and data collection for pharmaceutical trials. Support laboratory experiments and analyze research findings. Learn about regulatory compliance in healthcare and contribute to research publications.,"₹8,000 - ₹15,000",Chennai
Healthcare Technology Intern,Healthcare & Life Sciences,Work on developing digital health solutions and medical device software. Assist in implementing electronic health record systems and telemedicine platforms. Support healthcare data analytics and patient management system development.,"₹12,000 - ₹20,000",Pune
Biotechnology Research Intern,Healthcare & Life Sciences,Conduct laboratory experiments in molecular biology and genetic engineering. Assist in drug discovery research and protein analysis. Learn about bioinformatics tools and support research documentation and patent applications.,"₹10,000 - ₹16,000",Bangalore
Clinical Data Management Intern,Healthcare & Life Sciences,Manage clinical trial data collection and ensure data quality and integrity. Work with EDC systems and support regulatory submission requirements. Assist in statistical analysis and clinical study report preparation.,"₹9,000 - ₹16,000",Mumbai
Pharmaceutical Research Intern,Healthcare & Life Sciences,Support drug discovery and development processes in pharmaceutical laboratories. Assist in formulation development and stability testing of medications. Learn about regulatory approval processes and good manufacturing practices.,"₹10,000 - ₹17,000",Hyderabad
Medical Device Testing Intern,Healthcare & Life Sciences,Test medical devices for safety and efficacy according to FDA and ISO standards. Assist in quality control procedures and documentation requirements. Learn about biocompatibility testing and regulatory compliance.,"₹8,000 - ₹15,000",Chennai
Health Informatics Intern,Healthcare & Life Sciences,Work on electronic health record systems and healthcare data analytics projects. Support interoperability initiatives and health information exchange. Assist in implementing healthcare IT solutions and user training programs.,"₹11,000 - ₹18,000",Bangalore
Nursing Intern,Healthcare & Life Sciences,"Provide patient care under supervision in hospital settings and assist with medical procedures. Learn about patient assessment, medication administration, and infection control protocols. Support healthcare teams in emergency and routine care situations.","₹6,000 - ₹12,000",Delhi
Physiotherapy Intern,Healthcare & Life Sciences,"Assist licensed physiotherapists in patient rehabilitation and treatment programs. Learn about therapeutic exercises, manual therapy techniques, and patient assessment procedures. Support sports injury recovery and chronic pain management protocols.","₹7,000 - ₹13,000",Pune
Mental Health Counseling Intern,Healthcare & Life Sciences,Support mental health professionals in providing counseling services and therapy sessions. Learn about psychological assessment techniques and treatment planning. Assist in group therapy sessions and mental health awareness programs.,"₹8,000 - ₹14,000",Mumbai
Pharmaceutical Manufacturing Intern,Healthcare & Life Sciences,Support drug manufacturing processes and quality assurance activities in pharmaceutical facilities. Assist in batch record review and deviation investigations. Learn about FDA regulations and good manufacturing practices.,"₹9,000 - ₹16,000",Hyderabad
Regulatory Affairs Intern,Healthcare & Life Sciences,Support drug approval processes and regulatory submission preparation. Assist in clinical trial documentation and FDA correspondence. Learn about international regulatory requirements and pharmacovigilance procedures.,"₹10,000 - ₹17,000",Mumbai
Laboratory Technician Intern,Healthcare & Life Sciences,Perform laboratory tests and sample analysis using various analytical instruments. Assist in method validation and quality control procedures. Support laboratory accreditation and compliance activities.,"₹7,000 - ₹13,000",Bangalore
Telemedicine Intern,Healthcare & Life Sciences,Support virtual healthcare delivery platforms and remote patient monitoring systems. Assist in telehealth program development and patient engagement strategies. Learn about healthcare interoperability and digital health regulations.,"₹9,000 - ₹15,000",Remote
