title,domain,description,stipend,location
Digital Marketing Intern,Marketing & Advertising,Manage social media campaigns and create engaging content for various digital platforms. Analyze marketing metrics using Google Analytics and social media insights. Assist in SEO optimization and email marketing campaigns to drive brand awareness.,"₹6,000 - ₹12,000",Delhi
Content Marketing Intern,Marketing & Advertising,"Create compelling blog posts, articles, and marketing copy for various channels. Research industry trends and develop content strategies to engage target audiences. Collaborate with design teams to produce multimedia content and manage content calendars.","₹8,000 - ₹15,000",Remote
Growth Marketing Intern,Marketing & Advertising,Support customer acquisition strategies through data-driven marketing experiments. Analyze conversion funnels and user behavior to identify growth opportunities. Assist in A/B testing campaigns and implementing growth hacking techniques.,"₹10,000 - ₹16,000",Bangalore
Brand Marketing Intern,Marketing & Advertising,Assist in developing brand identity and positioning strategies for target markets. Support brand campaign execution across multiple touchpoints. Conduct market research and competitive analysis to inform brand decisions.,"₹8,000 - ₹14,000",Mumbai
Social Media Manager Intern,Marketing & Advertising,"Manage brand presence across Facebook, Instagram, Twitter, and LinkedIn platforms. Create content calendars and engagement strategies to grow follower base. Analyze social media metrics and optimize campaigns for better reach.","₹6,000 - ₹11,000",Mumbai
SEO Specialist Intern,Marketing & Advertising,Optimize website content and structure for search engine rankings. Conduct keyword research and competitive analysis for content strategy. Implement technical SEO improvements and monitor website performance metrics.,"₹7,000 - ₹13,000",Pune
PPC Campaign Intern,Marketing & Advertising,"Manage Google Ads and Facebook advertising campaigns for lead generation and sales. Optimize ad targeting, bidding strategies, and landing page performance. Analyze campaign ROI and prepare performance reports.","₹8,000 - ₹15,000",Bangalore
Email Marketing Intern,Marketing & Advertising,"Design and execute email marketing campaigns using platforms like Mailchimp and HubSpot. Create automated drip campaigns and newsletter templates. Analyze open rates, click-through rates, and conversion metrics.","₹6,000 - ₹12,000",Remote
Influencer Marketing Intern,Marketing & Advertising,Identify and collaborate with social media influencers for brand partnerships and campaigns. Manage influencer relationships and track campaign performance metrics. Assist in negotiating contracts and content approval processes.,"₹8,000 - ₹14,000",Mumbai
Market Research Intern,Marketing & Advertising,Conduct consumer surveys and focus groups to gather market insights. Analyze competitor strategies and industry trends for strategic planning. Prepare market research reports and present findings to stakeholders.,"₹7,000 - ₹13,000",Delhi
Public Relations Intern,Marketing & Advertising,Write press releases and manage media relationships for brand publicity. Coordinate with journalists and organize press conferences or media events. Monitor brand mentions and manage crisis communication strategies.,"₹8,000 - ₹15,000",Mumbai
Graphic Design Intern,Marketing & Advertising,"Create visual designs for marketing materials, websites, and social media campaigns. Work with Adobe Creative Suite to develop logos, brochures, and digital advertisements. Collaborate with marketing teams on brand identity projects.","₹7,000 - ₹12,000",Bangalore
Affiliate Marketing Intern,Marketing & Advertising,Manage affiliate partner relationships and performance marketing campaigns. Track commission structures and optimize affiliate program performance. Support recruitment of new affiliate partners and relationship management.,"₹7,000 - ₹13,000",Bangalore
Conversion Rate Optimization Intern,Marketing & Advertising,Analyze website user behavior and implement A/B tests to improve conversion rates. Work with tools like Google Analytics and Hotjar for user experience analysis. Support landing page optimization and checkout process improvements.,"₹8,000 - ₹15,000",Mumbai
Marketing Automation Intern,Marketing & Advertising,Implement marketing automation workflows using platforms like HubSpot and Marketo. Create lead nurturing campaigns and customer journey mapping. Support CRM integration and marketing qualified lead processes.,"₹9,000 - ₹16,000",Pune
Brand Partnership Intern,Marketing & Advertising,Identify and manage strategic brand partnership opportunities and co-marketing initiatives. Support partnership agreement negotiations and campaign execution. Assist in measuring partnership ROI and performance metrics.,"₹8,000 - ₹15,000",Mumbai
Customer Experience Intern,Marketing & Advertising,Analyze customer journey touchpoints and identify experience improvement opportunities. Support customer feedback collection and Net Promoter Score initiatives. Assist in customer retention and loyalty program development.,"₹7,000 - ₹14,000",Bangalore
Trade Marketing Intern,Marketing & Advertising,Support channel partner marketing and retail activation programs. Assist in trade promotion planning and point-of-sale material development. Learn about distributor relationships and retail merchandising strategies.,"₹8,000 - ₹14,000",Delhi
