title,domain,description,stipend,location
Supply Chain Analytics Intern,Logistics & Supply Chain,Analyze supply chain data to identify optimization opportunities and cost reduction strategies. Support inventory management and demand forecasting activities. Learn about logistics software and help implement process improvements.,"₹10,000 - ₹16,000",Chennai
Warehouse Operations Intern,Logistics & Supply Chain,Support warehouse management activities including inventory tracking and order fulfillment. Learn about automated warehouse systems and quality control processes. Assist in optimizing storage layouts and improving operational efficiency.,"₹7,000 - ₹12,000",Bhiwandi
Logistics Coordinator Intern,Logistics & Supply Chain,Coordinate shipment scheduling and track cargo movements across different transportation modes. Assist in documentation requirements for import/export operations. Learn about customs clearance and international trade regulations.,"₹8,000 - ₹14,000",Mumbai
Transportation Planning Intern,Logistics & Supply Chain,Optimize delivery routes and fleet utilization for cost-effective transportation. Work with GPS tracking systems and route optimization software. Support driver management and vehicle maintenance scheduling.,"₹7,000 - ₹13,000",Delhi
Freight Management Intern,Logistics & Supply Chain,"Manage freight operations including carrier selection, rate negotiation, and shipment tracking. Assist in freight audit processes and cost analysis. Learn about different shipping modes and international freight forwarding.","₹9,000 - ₹15,000",Chennai
Cold Chain Management Intern,Logistics & Supply Chain,Monitor temperature-controlled logistics for pharmaceutical and food products. Support cold storage facility operations and temperature monitoring systems. Learn about regulatory compliance for cold chain transportation.,"₹8,000 - ₹14,000",Hyderabad
E-commerce Logistics Intern,Logistics & Supply Chain,Support last-mile delivery operations and customer order fulfillment for online retailers. Work on return merchandise management and customer service coordination. Assist in delivery performance optimization and cost reduction initiatives.,"₹7,000 - ₹12,000",Bangalore
Procurement Intern,Logistics & Supply Chain,Support vendor selection processes and purchase order management activities. Assist in supplier relationship management and contract negotiations. Learn about sourcing strategies and cost analysis for procurement decisions.,"₹8,000 - ₹14,000",Pune
Export-Import Operations Intern,Logistics & Supply Chain,Support international trade documentation and customs clearance procedures. Assist in letter of credit processing and trade finance operations. Learn about Incoterms and international shipping regulations.,"₹9,000 - ₹15,000",Mumbai
Supply Chain Technology Intern,Logistics & Supply Chain,Implement supply chain management software and visibility platforms. Work on IoT integration for shipment tracking and predictive analytics. Support blockchain implementation for supply chain transparency.,"₹11,000 - ₹18,000",Bangalore
